Window resized to 1280, 800
         25683851 function calls (25534927 primitive calls) in 24.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1523    0.007    0.000    0.008    0.000 runlist.py:127(set_run)
     1523    0.007    0.000    1.861    0.001 layout.py:890(<listcomp>)
     5895    0.007    0.000    0.007    0.000 sorteddict.py:186(__setitem__)
     3050    0.006    0.000    0.006    0.000 xy.py:20(magnitude)
       78    0.006    0.000    0.020    0.000 win32.py:336(render)
     7181    0.006    0.000    0.447    0.000 __main__.py:93(m_collision)
     2813    0.006    0.000    0.008    0.000 sprite.py:118(__init__)
     2499    0.006    0.000    0.014    0.000 vertexattribute.py:501(__init__)
    60164    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     4076    0.006    0.000    0.015    0.000 __main__.py:145(m_collision_late)
     5659    0.006    0.000    0.008    0.000 sprite.py:165(__hash__)
        6    0.006    0.001    0.006    0.001 {built-in method _imp.create_dynamic}
    20918    0.006    0.000    0.006    0.000 layout.py:1052(<lambda>)
    158/1    0.006    0.000   24.499   24.499 {built-in method builtins.exec}
     2451    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:94(acquire)
2656/2654    0.006    0.000    0.043    0.000 __init__.py:1152(dispatch_event)
     3590    0.005    0.000    0.012    0.000 random.py:170(randrange)
      712    0.005    0.000    0.018    0.000 layout.py:1294(_flow_glyphs_single_line)
    10228    0.005    0.000    0.007    0.000 base.py:16(has_name)
    31037    0.005    0.000    0.005    0.000 document.py:278(_get_text)
     5544    0.005    0.000    0.007    0.000 _weakrefset.py:20(__enter__)
     3590    0.005    0.000    0.007    0.000 random.py:220(_randbelow)
      145    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.005    0.005    0.108    0.108 glext_arb.py:38(<module>)
     1523    0.005    0.000    0.013    0.000 layout.py:245(__init__)
     1157    0.005    0.000    0.005    0.000 __init__.py:253(set_state)
     2328    0.005    0.000    0.007    0.000 __init__.py:94(m_tick)
       85    0.005    0.000    0.287    0.003 __init__.py:999(_convert)
     2521    0.005    0.000    0.018    0.000 vertexattribute.py:220(create_attribute)
     3079    0.005    0.000    0.007    0.000 entity.py:96(kill)
     8687    0.005    0.000    0.005    0.000 {method 'insert' of 'list' objects}
     5544    0.005    0.000    0.005    0.000 _weakrefset.py:16(__init__)
        7    0.005    0.001    0.007    0.001 gdiplus.py:199(_load_bitmap)
        7    0.004    0.001    0.005    0.001 gdiplus.py:269(_delete_bitmap)
     1164    0.004    0.000    0.004    0.000 camera.py:113(m_camera_dispel_matrix)
     1166    0.004    0.000    0.007    0.000 main.py:57(translate_cursor)
      340    0.004    0.000    0.023    0.000 __main__.py:168(make_bullet)
     5538    0.004    0.000    0.004    0.000 clock.py:334(<listcomp>)
     2321    0.004    0.000    0.004    0.000 layout.py:675(set_state)
      357    0.004    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1212(find_spec)
     7108    0.004    0.000    0.004    0.000 message.py:197(__init__)
     2212    0.004    0.000    0.017    0.000 __init__.py:114(WINFUNCTYPE)
     2451    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:119(release)
        1    0.004    0.004    0.006    0.006 gdiplus.py:36(<module>)
     1523    0.004    0.000    0.005    0.000 layout.py:669(__init__)
5568/5561    0.004    0.000    0.088    0.000 __init__.py:349(__getattr__)
        1    0.004    0.004    0.005    0.005 __init__.py:353(set_visible)
     2279    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
     8294    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     1164    0.004    0.000    0.565    0.000 debug.py:137(m_mouse_move)
     1553    0.004    0.000    0.004    0.000 gl_info.py:166(<listcomp>)
     5540    0.004    0.000    0.006    0.000 threading.py:237(__enter__)
    10285    0.004    0.000    0.004    0.000 allocation.py:338(get_allocated_regions)
     3050    0.004    0.000    0.010    0.000 xy.py:23(scale_to)
     5401    0.004    0.000    0.220    0.000 world.py:112(post_message)
     1499    0.004    0.000    0.397    0.000 __init__.py:306(switch_to)
     1164    0.004    0.000    0.006    0.000 camera.py:68(boundary)
     5540    0.004    0.000    0.005    0.000 threading.py:240(__exit__)
     3048    0.004    0.000    0.004    0.000 weakref.py:145(__contains__)
     2816    0.004    0.000    0.004    0.000 resource.py:93(image)
     1164    0.004    0.000    0.006    0.000 __init__.py:164(m_mouse_move)
        3    0.003    0.001    0.004    0.001 win32.py:430(__init__)
        1    0.003    0.003    0.009    0.009 __init__.py:286(close)
    21658    0.003    0.000    0.003    0.000 {method 'remove' of 'set' objects}
